fam_history,abx_exposure,year,sex,age,prob,OR,calibrated_prev,prev,calibrated_inc,province
0,0,2000,0,3,0.3118250095834483,1,0.02688920134303842,0.06216966630302178,0,BC
1,0,2000,0,3,0.1290567646599915,1.13,0.03027895452004241,0.06216966630302178,0,BC
0,1,2000,0,3,0.25523427212997335,3.3302706334622383,0.08426814979599291,0.06216966630302178,0,BC
1,1,2000,0,3,0.10563523892918256,3.763205815812329,0.09419115836592902,0.06216966630302178,0,BC
0,2,2000,0,3,0.1046004840054566,3.5120611171534653,0.08846120166267624,0.06216966630302178,0,BC
1,2,2000,0,3,0.04329158865623576,3.9686290623834153,0.09882467840410206,0.06216966630302178,0,BC
0,3,2000,0,3,0.03561603428112184,3.748910028065368,0.09386692908049216,0.06216966630302178,0,BC
1,3,2000,0,3,0.01474060775459017,4.236268331713865,0.10479089788949446,0.06216966630302178,0,BC
0,0,2000,1,3,0.24740205608183544,1,0.04246945292045168,0.10433315639664076,0,BC
1,0,2000,1,3,0.1023936757696367,1.13,0.04772697976648075,0.10433315639664076,0,BC
0,1,2000,1,3,0.25968503450448205,3.3302706334622383,0.1286981212601571,0.10433315639664076,0,BC
1,1,2000,1,3,0.1074773009019917,3.763205815812329,0.14303578031798975,0.10433315639664076,0,BC
0,2,2000,1,3,0.136476287072666,3.5120611171534653,0.13477656079114086,0.10433315639664076,0,BC
1,2,2000,1,3,0.05648420595235478,3.9686290623834153,0.14967506394782842,0.10433315639664076,0,BC
0,3,2000,1,3,0.06371242234101654,3.763086490805117,0.14303189360164392,0.10433315639664076,0,BC
1,3,2000,1,3,0.02636901737601681,4.252287734609781,0.15867560242503712,0.10433315639664076,0,BC
0,0,2000,0,4,0.3118250095834483,1,0.03293588270091743,0.07243353086335437,0,BC
1,0,2000,0,4,0.1290567646599915,1.646815108019112,0.05310792837762757,0.07243353086335437,0,BC
0,1,2000,0,4,0.25523427212997335,2.658443714934177,0.08302326788084215,0.07243353086335437,0,BC
1,1,2000,0,4,0.10563523892918256,4.377965273572056,0.1297559841675558,0.07243353086335437,0,BC
0,2,2000,0,4,0.1046004840054566,2.803560980764719,0.08716027219586803,0.07243353086335437,0,BC
1,2,2000,0,4,0.04329158865623576,4.616946579376218,0.13587659521216822,0.07243353086335437,0,BC
0,3,2000,0,4,0.03561603428112184,2.9926295454362575,0.09249456844331692,0.07243353086335437,0,BC
1,3,2000,0,4,0.01474060775459017,4.928307548128797,0.14372295606164828,0.07243353086335437,0,BC
0,0,2000,1,4,0.24740205608183544,1,0.05218949847949308,0.11984828663135928,0,BC
1,0,2000,1,4,0.1023936757696367,1.646815108019112,0.08313990447088089,0.11984828663135928,0,BC
0,1,2000,1,4,0.25968503450448205,2.658443714934177,0.12769077999021455,0.11984828663135928,0,BC
1,1,2000,1,4,0.1074773009019917,4.377965273572056,0.19424034390406797,0.11984828663135928,0,BC
0,2,2000,1,4,0.136476287072666,2.803560980764719,0.1337289447722907,0.11984828663135928,0,BC
1,2,2000,1,4,0.05648420595235478,4.616946579376218,0.2026942217318793,0.11984828663135928,0,BC
0,3,2000,1,4,0.06371242234101654,3.0039461417074795,0.1419306350591633,0.11984828663135928,0,BC
1,3,2000,1,4,0.02636901737601681,4.946943889839598,0.21408032401434293,0.11984828663135928,0,BC
0,0,2000,0,5,0.3118250095834483,1,0.03751824750659083,0.08135333985978813,0,BC
1,0,2000,0,5,0.1290567646599915,2.4,0.08555022185870392,0.08135333985978813,0,BC
0,1,2000,0,5,0.25523427212997335,2.122146743088662,0.07640260237555871,0.08135333985978813,0,BC
1,1,2000,0,5,0.10563523892918256,5.093152183412789,0.16564793867161887,0.08135333985978813,0,BC
0,2,2000,0,5,0.1046004840054566,2.2379890049797853,0.08023857025867287,0.08135333985978813,0,BC
1,2,2000,0,5,0.04329158865623576,5.371173611951485,0.1731247708910891,0.08135333985978813,0,BC
0,3,2000,0,5,0.03561603428112184,2.388916121786879,0.08518878442993574,0.08135333985978813,0,BC
1,3,2000,0,5,0.01474060775459017,5.733398692288509,0.1826673851388793,0.08135333985978813,0,BC
0,0,2000,1,5,0.24740205608183544,1,0.05993181398617118,0.13268099926587734,0,BC
1,0,2000,1,5,0.1023936757696367,2.4,0.1327020492251659,0.13268099926587734,0,BC
0,1,2000,1,5,0.25968503450448205,2.122146743088662,0.1191696706253074,0.13268099926587734,0,BC
1,1,2000,1,5,0.1074773009019917,5.093152183412789,0.24511313698082135,0.13268099926587734,0,BC
0,2,2000,1,5,0.136476287072666,2.2379890049797853,0.1248625714084112,0.13268099926587734,0,BC
1,2,2000,1,5,0.05648420595235478,5.371173611951485,0.2550802117618123,0.13268099926587734,0,BC
0,3,2000,1,5,0.06371242234101654,2.397949782273624,0.1326037197033253,0.13268099926587734,0,BC
1,3,2000,1,5,0.02636901737601681,5.755079477456698,0.26841834745514087,0.13268099926587734,0,BC
0,0,2000,0,6,0.3118250095834483,1,0.04785511120314401,0.08892909329232312,0,BC
1,0,2000,0,6,0.1290567646599915,2.4,0.10764064953282484,0.08892909329232312,0,BC
0,1,2000,0,6,0.25523427212997335,1.6940388011249763,0.07846241903377278,0.08892909329232312,0,BC
1,1,2000,0,6,0.10563523892918256,4.065693122699943,0.16967180167889245,0.08892909329232312,0,BC
0,2,2000,0,6,0.1046004840054566,1.7865118061576193,0.08239257900573921,0.08892909329232312,0,BC
1,2,2000,0,6,0.04329158865623576,4.287628334778286,0.17729166508246202,0.08892909329232312,0,BC
0,3,2000,0,6,0.03561603428112184,1.9069918760674405,0.08746304504740918,0.08892909329232312,0,BC
