year,proj_scenario,sex,age,VALUE
2018,M1,B,90,66.6
2018,M1,B,91,55.7
2018,M1,B,92,46.6
2018,M1,B,93,38.1
2018,M1,B,94,30.6
2018,M1,B,95,23.6
2018,M1,B,96,18
2018,M1,B,97,13.2
2018,M1,B,98,9.3
2018,M1,B,99,5.7
2018,M1,B,100,10
2018,M1,M,0,197.3
2018,M1,M,1,197.8
2018,M1,M,2,199.9
2018,M1,M,3,201.5
2018,M1,M,4,202.6
2018,M1,M,5,205.2
2018,M1,M,6,205.7
2018,M1,M,7,205.9
2018,M1,M,8,209.4
2018,M1,M,9,210.6
2018,M1,M,10,210
2018,M1,M,11,205.1
2018,M1,M,12,200.1
2018,M1,M,13,198.1
2018,M1,M,14,200.1
2018,M1,M,15,200
2018,M1,M,16,204
2018,M1,M,17,211.2
2018,M1,M,18,226.8
2018,M1,M,19,240.8
2018,M1,M,20,245.6
2018,M1,M,21,248.6
2018,M1,M,22,254.5
2018,M1,M,23,261.4
2018,M1,M,24,261.2
2018,M1,M,25,262.6
2018,M1,M,26,264.6
2018,M1,M,27,268.2
2018,M1,M,28,268.7
2018,M1,M,29,260.8
2018,M1,M,30,254.1
2018,M1,M,31,255.4
2018,M1,M,32,260.7
2018,M1,M,33,259.9
2018,M1,M,34,258.4
2018,M1,M,35,255.6
2018,M1,M,36,253.1
2018,M1,M,37,252
2018,M1,M,38,248.3
2018,M1,M,39,241.2
2018,M1,M,40,237.5
2018,M1,M,41,236.3
2018,M1,M,42,236.2
2018,M1,M,43,235.9
2018,M1,M,44,230.8
2018,M1,M,45,231.4
2018,M1,M,46,235.4
2018,M1,M,47,244.2
2018,M1,M,48,244
2018,M1,M,49,240.5
2018,M1,M,50,238.9
2018,M1,M,51,241.5
2018,M1,M,52,255.2
2018,M1,M,53,271.1
2018,M1,M,54,278.9
2018,M1,M,55,280
2018,M1,M,56,272.7
2018,M1,M,57,273.1
2018,M1,M,58,268.2
2018,M1,M,59,260.9
2018,M1,M,60,257.5
2018,M1,M,61,249.3
2018,M1,M,62,241.2
2018,M1,M,63,235.5
2018,M1,M,64,224.1
2018,M1,M,65,212.7
2018,M1,M,66,203.2
2018,M1,M,67,197.3
2018,M1,M,68,190.5
2018,M1,M,69,184.5
2018,M1,M,70,181.7
2018,M1,M,71,178.2
2018,M1,M,72,150.6
2018,M1,M,73,137.7
2018,M1,M,74,131.2
2018,M1,M,75,123
2018,M1,M,76,111
2018,M1,M,77,102.3
2018,M1,M,78,93.1
2018,M1,M,79,86.6
2018,M1,M,80,79.8
2018,M1,M,81,72.5
2018,M1,M,82,68
2018,M1,M,83,61.3
2018,M1,M,84,55.5
2018,M1,M,85,51.3
2018,M1,M,86,45.9
2018,M1,M,87,40.3
2018,M1,M,88,34.2
2018,M1,M,89,28.1
2018,M1,M,90,23.3
2018,M1,M,91,18.6
2018,M1,M,92,14.8
2018,M1,M,93,11.5
2018,M1,M,94,8.5
2018,M1,M,95,6.2
2018,M1,M,96,4.5
2018,M1,M,97,3.3
2018,M1,M,98,2.1
2018,M1,M,99,1.1
2018,M1,M,100,1.8
2018,M1,F,0,187.7
2018,M1,F,1,187.9
2018,M1,F,2,190.5
2018,M1,F,3,191.9
2018,M1,F,4,193.9
2018,M1,F,5,195.3
2018,M1,F,6,197.3
2018,M1,F,7,197.4
2018,M1,F,8,201.6
2018,M1,F,9,202.5
