year,sex,age,calibrator_multiplier,province
2000,0,3,7.022517668741374,BC
2000,0,4,5.240520709912254,BC
2000,0,5,3.687377985699254,BC
2000,0,6,1.692273866339322,BC
2000,0,7,1.532556827289804,BC
2000,0,8,0.9639346514537012,BC
2000,0,9,0.9119606816478516,BC
2000,0,10,1.008261151518158,BC
2000,0,11,0.7331997549497192,BC
2000,0,12,1.105840650346269,BC
2000,0,13,0.8665343498673157,BC
2000,0,14,0.6028240080070535,BC
2000,0,15,0.8938137725373057,BC
2000,0,16,0.6247225522188492,BC
2000,0,17,0.5594720677401002,BC
2000,0,18,1.117208995136858,BC
2000,0,19,0.8263639378012758,BC
2000,0,20,0.7420351097922991,BC
2000,0,21,1.0637727959081211,BC
2000,0,22,0.7401459650371487,BC
2000,0,23,1.255792083015043,BC
2000,0,24,0.8808614622104428,BC
2000,0,25,0.9549987437102913,BC
2000,0,26,0.9662800426938688,BC
2000,0,27,0.8172669695136685,BC
2000,0,28,0.8065276837896562,BC
2000,0,29,0.3953748999717241,BC
2000,0,30,1.122127994426573,BC
2000,0,31,1.0851299880349408,BC
2000,0,32,1.457834612178619,BC
2000,0,33,1.3773407749534918,BC
2000,0,34,1.2898781273751458,BC
2000,0,35,0.84571763558524,BC
2000,0,36,0.8904764997095013,BC
2000,0,37,1.4621010008077246,BC
2000,0,38,1.0575819151640709,BC
2000,0,39,1.2795565217621905,BC
2000,0,40,1.217943512166284,BC
2000,0,41,1.1837571190539504,BC
2000,0,42,1.5201899323865316,BC
2000,0,43,0.9474595901763752,BC
2000,0,44,1.4666661722167342,BC
2000,0,45,1.610090684964989,BC
2000,0,46,1.5017076496495896,BC
2000,0,47,1.1229799243806124,BC
2000,0,48,0.9951013062843976,BC
2000,0,49,1.1761876579403667,BC
2000,0,50,1.1697138080085483,BC
2000,0,51,1.4358328313567568,BC
2000,0,52,1.0278458993518322,BC
2000,0,53,1.0642628975618722,BC
2000,0,54,1.3907559158565086,BC
2000,0,55,1.4494803226618684,BC
2000,0,56,1.789537577687475,BC
2000,0,57,1.8263599750748765,BC
2000,0,58,1.334025065480682,BC
2000,0,59,1.5698698912515432,BC
2000,0,60,2.5162088458097434,BC
2000,0,61,1.8058039337981255,BC
2000,0,62,0.9439523061584209,BC
2000,0,63,2.1821591401377605,BC
2000,0,64,1.3003187234418476,BC
2000,0,65,2.195566634684176,BC
2000,0,66,2.2615915360910206,BC
2000,0,67,1.978029427354087,BC
2000,0,68,1.9190651517425985,BC
2000,0,69,1.2553551761459272,BC
2000,0,70,2.0194328534866144,BC
2000,0,71,2.0474634562080936,BC
2000,0,72,1.388057816384338,BC
2000,0,73,2.1633869868716875,BC
2000,0,74,1.9145514986254,BC
2000,0,75,2.4502516801286527,BC
2000,0,76,2.2738984220898995,BC
2000,0,77,1.29388079192283,BC
2000,0,78,2.22623249919743,BC
2000,0,79,2.1440761616014554,BC
2000,0,80,2.5382259700760095,BC
2000,0,81,1.6908190836678227,BC
2000,0,82,1.6166035722577183,BC
2000,0,83,3.775964122744597,BC
2000,0,84,1.7293419134105823,BC
2000,0,85,3.391492442595698,BC
2000,0,86,3.628653466109646,BC
2000,0,87,1.803799977303279,BC
2000,0,88,2.2418137370702444,BC
2000,0,89,3.308643972897139,BC
2000,0,90,1.7271951828307848,BC
2000,1,3,5.603129224404511,BC
2000,1,4,4.693063128411645,BC
2000,1,5,3.5519750972994597,BC
2000,1,6,2.500066383649274,BC
2000,1,7,1.6011817299459197,BC
2000,1,8,1.076434099440996,BC
2000,1,9,1.0005012562471087,BC
2000,1,10,0.8945460168745092,BC
2000,1,11,0.7334728870890483,BC
2000,1,12,0.62002952369434,BC
2000,1,13,0.5177780779969344,BC
2000,1,14,0.7388451826824948,BC
2000,1,15,0.36442949019323495,BC
2000,1,16,0.2861116116696089,BC
2000,1,17,0.41443627052961945,BC
2000,1,18,0.3641101365356106,BC
2000,1,19,0.5963465111781359,BC
2000,1,20,0.5401236671383928,BC
2000,1,21,0.5328600294989597,BC
2000,1,22,0.7719911023077277,BC
2000,1,23,0.3641477021323057,BC
2000,1,24,0.8771647142956676,BC
2000,1,25,1.2852648004924003,BC
2000,1,26,0.8120193571501363,BC
2000,1,27,0.8859935861801463,BC
2000,1,28,0.6658485594573592,BC
2000,1,29,0.7013234949139673,BC
2000,1,30,0.17124022407461476,BC
2000,1,31,0.4378186586363083,BC
2000,1,32,1.0756108501397528,BC
2000,1,33,1.1659050212883295,BC
2000,1,34,0.6114832614505051,BC
2000,1,35,0.732430629882746,BC
2000,1,36,0.7068344579351005,BC
2000,1,37,0.6118351144108962,BC
2000,1,38,0.4026071991794505,BC
2000,1,39,1.1270843100514232,BC
2000,1,40,1.225154203659833,BC
2000,1,41,1.2723640153597895,BC
2000,1,42,0.5918071256203082,BC
2000,1,43,0.526814375728112,BC
2000,1,44,0.7112938464239972,BC
2000,1,45,1.2527928768870733,BC
2000,1,46,0.27704524991210255,BC
2000,1,47,1.137610199353415,BC
2000,1,48,1.2512852985744305,BC
2000,1,49,0.980801151853732,BC
2000,1,50,1.0758161605332288,BC
2000,1,51,1.111600101126024,BC
2000,1,52,1.2836042550137925,BC
2000,1,53,1.7457450943046564,BC
2000,1,54,1.073695794702843,BC
2000,1,55,0.866865289835123,BC
2000,1,56,1.3292414576187548,BC
2000,1,57,0.8553543167578096,BC
2000,1,58,1.1746445990651513,BC
2000,1,59,1.8429447455314325,BC
2000,1,60,1.2313380491131944,BC
2000,1,61,0.6884371097131837,BC
2000,1,62,1.2487351371707176,BC
