year,sex,age,province,n,total_n,prop
2000,TRUE,94,CA,1973,30659469,6.435206036999532e-5
2000,TRUE,95,CA,1294,30659469,4.220555809365126e-5
2000,TRUE,96,CA,896,30659469,2.9224250426515865e-5
2000,TRUE,97,CA,563,30659469,1.836300556933977e-5
2000,TRUE,98,CA,351,30659469,1.1448339173780212e-5
2000,TRUE,99,CA,520,30659469,1.6960502479674385e-5
2000,FALSE,0,CA,165164,30659469,0.0053870469837556546
2000,FALSE,1,CA,167796,30659469,0.005472893219383545
2000,FALSE,2,CA,173057,30659469,0.005644487841586558
2000,FALSE,3,CA,178177,30659469,0.005811483558309506
2000,FALSE,4,CA,190325,30659469,0.006207706989315438
2000,FALSE,5,CA,192173,30659469,0.0062679820058201266
2000,FALSE,6,CA,193466,30659469,0.0063101549475628555
2000,FALSE,7,CA,197854,30659469,0.00645327549541057
2000,FALSE,8,CA,204007,30659469,0.006653963902636409
2000,FALSE,9,CA,205737,30659469,0.006710390189732249
2000,FALSE,10,CA,207652,30659469,0.006772850501748742
2000,FALSE,11,CA,200165,30659469,0.0065286518823923535
2000,FALSE,12,CA,194941,30659469,0.0063582640651734705
2000,FALSE,13,CA,198029,30659469,0.006458983356821999
2000,FALSE,14,CA,201958,30659469,0.0065871329995963075
2000,FALSE,15,CA,202919,30659469,0.0066184773128327825
2000,FALSE,16,CA,203154,30659469,0.006626142155299559
2000,FALSE,17,CA,202601,30659469,0.0066081053132394435
2000,FALSE,18,CA,202678,30659469,0.006610616772260472
2000,FALSE,19,CA,207063,30659469,0.006753639471055418
2000,FALSE,20,CA,206022,30659469,0.006719685849745147
2000,FALSE,21,CA,202885,30659469,0.006617368356901419
2000,FALSE,22,CA,198803,30659469,0.006484228412435975
2000,FALSE,23,CA,201210,30659469,0.006562735969106314
2000,FALSE,24,CA,200645,30659469,0.0065443077308351295
2000,FALSE,25,CA,201797,30659469,0.006581881767097793
2000,FALSE,26,CA,197739,30659469,0.006449524615054488
2000,FALSE,27,CA,200526,30659469,0.006540426385075358
2000,FALSE,28,CA,205630,30659469,0.006706900240183547
2000,FALSE,29,CA,217740,30659469,0.0071018842498544255
2000,FALSE,30,CA,218520,30659469,0.007127325003573937
2000,FALSE,31,CA,217365,30659469,0.007089653118258506
2000,FALSE,32,CA,218973,30659469,0.007142100210541807
2000,FALSE,33,CA,224256,30659469,0.007314412392465114
2000,FALSE,34,CA,237957,30659469,0.007761289016453612
2000,FALSE,35,CA,257922,30659469,0.008412474462620341
2000,FALSE,36,CA,266962,30659469,0.008707326274959296
2000,FALSE,37,CA,271225,30659469,0.008846369778941703
2000,FALSE,38,CA,266389,30659469,0.008688637105880732
2000,FALSE,39,CA,271615,30659469,0.008859090155801459
2000,FALSE,40,CA,268603,30659469,0.008760849706823037
2000,FALSE,41,CA,263802,30659469,0.008604258606044352
2000,FALSE,42,CA,261504,30659469,0.00852930623162456
2000,FALSE,43,CA,257693,30659469,0.0084050053182591
2000,FALSE,44,CA,249802,30659469,0.008147629693130041
2000,FALSE,45,CA,249689,30659469,0.008143944045475804
2000,FALSE,46,CA,242111,30659469,0.007896777338185472
2000,FALSE,47,CA,231553,30659469,0.0075524139051462375
2000,FALSE,48,CA,222774,30659469,0.007266074960398042
2000,FALSE,49,CA,219232,30659469,0.007150547845430721
2000,FALSE,50,CA,214084,30659469,0.006982638870881945
2000,FALSE,51,CA,210508,30659469,0.0068660027999832614
2000,FALSE,52,CA,210139,30659469,0.006853967366492877
2000,FALSE,53,CA,212201,30659469,0.00692122228209497
2000,FALSE,54,CA,178854,30659469,0.0058335648278840056
2000,FALSE,55,CA,167261,30659469,0.005455443471640034
2000,FALSE,56,CA,164504,30659469,0.005365520192146837
2000,FALSE,57,CA,159793,30659469,0.005211864562951172
2000,FALSE,58,CA,148214,30659469,0.004834199835620115
2000,FALSE,59,CA,143724,30659469,0.004687752419978311
2000,FALSE,60,CA,135004,30659469,0.0044033378399345405
2000,FALSE,61,CA,131857,30659469,0.004300694183581588
2000,FALSE,62,CA,127028,30659469,0.004143189824977073
2000,FALSE,63,CA,122424,30659469,0.00399302414533011
2000,FALSE,64,CA,123340,30659469,0.004022900722775074
2000,FALSE,65,CA,120153,30659469,0.003918952412385224
2000,FALSE,66,CA,116311,30659469,0.0037936403921411685
2000,FALSE,67,CA,118892,30659469,0.003877823193872014
2000,FALSE,68,CA,118366,30659469,0.003860666993286805
2000,FALSE,69,CA,118362,30659469,0.003860536527883115
2000,FALSE,70,CA,115474,30659469,0.003766340506419077
2000,FALSE,71,CA,110209,30659469,0.003594615418812374
2000,FALSE,72,CA,109477,30659469,0.00357074024993714
2000,FALSE,73,CA,105854,30659469,0.003452571210545101
2000,FALSE,74,CA,105197,30659469,0.003431142267989051
2000,FALSE,75,CA,101789,30659469,0.003319985744045339
2000,FALSE,76,CA,98645,30659469,0.0032174399367451536
2000,FALSE,77,CA,93605,30659469,0.003053053528096002
2000,FALSE,78,CA,91382,30659469,0.0029805473799953937
2000,FALSE,79,CA,85052,30659469,0.002774085878656281
2000,FALSE,80,CA,78359,30659469,0.002555784641932318
2000,FALSE,81,CA,65790,30659469,0.0021458297271880343
2000,FALSE,82,CA,59511,30659469,0.0019410316597459662
2000,FALSE,83,CA,55823,30659469,0.001820742557543968
2000,FALSE,84,CA,51473,30659469,0.0016788614310313072
2000,FALSE,85,CA,48882,30659469,0.0015943524657912372
2000,FALSE,86,CA,43042,30659469,0.0014038729764041249
2000,FALSE,87,CA,37202,30659469,0.0012133934870170125
2000,FALSE,88,CA,31287,30659469,0.0010204677713107164
2000,FALSE,89,CA,26527,30659469,8.652139409198509e-4
2000,FALSE,90,CA,18897,30659469,6.163511833815517e-4
2000,FALSE,91,CA,15096,30659469,4.923764335253164e-4
2000,FALSE,92,CA,12081,30659469,3.9403813549412746e-4
2000,FALSE,93,CA,9115,30659469,2.972980386581385e-4
2000,FALSE,94,CA,6909,30659469,2.2534636852321218e-4
2000,FALSE,95,CA,4987,30659469,1.6265774205026187e-4
2000,FALSE,96,CA,3637,30659469,1.1862566830495335e-4
2000,FALSE,97,CA,2564,30659469,8.36283237651637e-5
2000,FALSE,98,CA,1753,30659469,5.717646316705616e-5
2000,FALSE,99,CA,3002,30659469,9.791428546919713e-5
2000,TRUE,0,BC,21314,4035980,0.005280997428133935
2000,TRUE,1,BC,21874,4035980,0.005419749354555771
2000,TRUE,2,BC,22134,4035980,0.005484169891823052
2000,TRUE,3,BC,23424,4035980,0.005803794865187637
2000,TRUE,4,BC,24680,4035980,0.00611499561444804
2000,TRUE,5,BC,25141,4035980,0.006229218182448873
2000,TRUE,6,BC,25130,4035980,0.006226492698179872
2000,TRUE,7,BC,25442,4035980,0.006303797342900609
2000,TRUE,8,BC,26311,4035980,0.006519110600151636
2000,TRUE,9,BC,26286,4035980,0.00651291631772209
2000,TRUE,10,BC,26816,4035980,0.00664423510522847
2000,TRUE,11,BC,26852,4035980,0.006653154871927016
2000,TRUE,12,BC,26359,4035980,0.006531003622416365
2000,TRUE,13,BC,26747,4035980,0.006627138885722922
2000,TRUE,14,BC,27987,4035980,0.0069343752942284155
2000,TRUE,15,BC,28741,4035980,0.00712119485230353
2000,TRUE,16,BC,28713,4035980,0.007114257255982438
2000,TRUE,17,BC,28607,4035980,0.007087993498481162
2000,TRUE,18,BC,28441,4035980,0.007046863463148975
2000,TRUE,19,BC,27823,4035980,0.006893740801490592
2000,TRUE,20,BC,27458,4035980,0.0068033042780192175
2000,TRUE,21,BC,27018,4035980,0.0066942849072592035
2000,TRUE,22,BC,26307,4035980,0.006518119514962908
2000,TRUE,23,BC,26772,4035980,0.0066333331681524684
2000,TRUE,24,BC,26465,4035980,0.006557267379917641
2000,TRUE,25,BC,26945,4035980,0.0066761976025649285
2000,TRUE,26,BC,26386,4035980,0.006537693447440275
2000,TRUE,27,BC,27037,4035980,0.006698992561905658
2000,TRUE,28,BC,27859,4035980,0.006902660568189139
2000,TRUE,29,BC,30151,4035980,0.007470552381329937
2000,TRUE,30,BC,30848,4035980,0.007643248975465687
2000,TRUE,31,BC,30195,4035980,0.007481454318405939
2000,TRUE,32,BC,29582,4035980,0.007329570513233465
2000,TRUE,33,BC,29704,4035980,0.0073597986114896504
2000,TRUE,34,BC,30696,4035980,0.007605587738294045
2000,TRUE,35,BC,33227,4035980,0.008232696891461305
2000,TRUE,36,BC,34787,4035980,0.008619220115064991
2000,TRUE,37,BC,36164,4035980,0.008960401191284396
2000,TRUE,38,BC,34826,4035980,0.008628883195655083
2000,TRUE,39,BC,35277,4035980,0.008740628050684096
2000,TRUE,40,BC,35159,4035980,0.008711391037616638
2000,TRUE,41,BC,34176,4035980,0.00846783185248688
2000,TRUE,42,BC,34557,4035980,0.008562232716713166
2000,TRUE,43,BC,33477,4035980,0.008294639715756768
2000,TRUE,44,BC,33203,4035980,0.008226750380328942
2000,TRUE,45,BC,33076,4035980,0.008195283425586846
2000,TRUE,46,BC,32078,4035980,0.00794800767099936
2000,TRUE,47,BC,31221,4035980,0.007735667669314516
2000,TRUE,48,BC,30671,4035980,0.007599393455864499
2000,TRUE,49,BC,29972,4035980,0.007426201319134386
2000,TRUE,50,BC,29864,4035980,0.007399442019038746
2000,TRUE,51,BC,28639,4035980,0.0070959221799909815
2000,TRUE,52,BC,28968,4035980,0.007177438936763809
2000,TRUE,53,BC,29075,4035980,0.007203950465562267
2000,TRUE,54,BC,23249,4035980,0.005760434888180814
2000,TRUE,55,BC,21982,4035980,0.00544650865465141
2000,TRUE,56,BC,22066,4035980,0.005467321443614686
2000,TRUE,57,BC,21336,4035980,0.005286448396671936
2000,TRUE,58,BC,19499,4035980,0.0048312925237488785
2000,TRUE,59,BC,18844,4035980,0.004669002324094768
2000,TRUE,60,BC,17650,4035980,0.0043731633952596395
2000,TRUE,61,BC,17053,4035980,0.004225243930842075
