REF_DATE,sex,age,n,relative_to_birth,prop
2020,B,0,373629,1,0.009830986981320839
2020,B,1,374856,1.003284006327132,0.009863272004769448
2020,B,2,383263,1.0257849363941236,0.010084478355325653
2020,B,3,390971,1.0464150266708419,0.010287292504259544
2020,B,4,399225,1.0685064596163574,0.01050447309394563
2020,B,5,403138,1.0789794154094035,0.010607432586003013
2020,B,6,406535,1.088071322086883,0.010696815002184699
2020,B,7,410483,1.0986379536920314,0.010800695419931327
2020,B,8,412545,1.1041567972507487,0.010854951099109023
2020,B,9,411902,1.1024358387598394,0.0108380323785895
2020,B,10,419375,1.1224369628695845,0.011034663169324187
2020,B,11,421048,1.1269146666880783,0.011078683417270009
2020,B,12,420471,1.125370354014276,0.011063501299478772
2020,B,13,410268,1.0980625165605453,0.010795038304983118
2020,B,14,400938,1.0730912215058253,0.010549545828393445
2020,B,15,398489,1.066536591110433,0.010485107342308973
2020,B,16,405707,1.085855220017718,0.010675028531593462
2020,B,17,407508,1.0906755096633292,0.010722416736345658
2020,B,18,425713,1.1394003142154383,0.011201429655564846
2020,B,19,463448,1.2403962219206752,0.012194319109381712
2020,B,20,488291,1.3068873133509444,0.0128479921636065
2020,B,21,488902,1.3085226253850746,0.01286406889492443
2020,B,22,491863,1.3164475990889357,0.012941979208234401
2020,B,23,499535,1.3369813371017774,0.0131438461193165
2020,B,24,514211,1.3762609433421924,0.013530003416897429
2020,B,25,522096,1.3973647655829713,0.013737474818602637
2020,B,26,520655,1.3935079985761276,0.013699558992368369
2020,B,27,526227,1.4084211878628266,0.013846170362095877
2020,B,28,533444,1.4277371403183372,0.014036065239217816
2020,B,29,542818,1.4528261992511289,0.01428271545095968
2020,B,30,547061,1.4641823841297115,0.0143943579566585
2020,B,31,533315,1.4273918780394454,0.01403267097024889
2020,B,32,522534,1.3985370514601383,0.01374899954579945
2020,B,33,524626,1.4041361885720862,0.013804044589853641
2020,B,34,534187,1.429725743986682,0.01405561517599232
2020,B,35,533575,1.4280877555007776,0.014039512132511839
2020,B,36,531047,1.4213216854152113,0.013972994985585935
2020,B,37,526529,1.4092294762986812,0.01385411663518592
2020,B,38,521387,1.3954671612749545,0.013718819495354825
2020,B,39,518142,1.386782075267177,0.01363343652788071
2020,B,40,511226,1.3682717347957465,0.013451461611686262
2020,B,41,497273,1.3309272031881894,0.013084328007628843
2020,B,42,487403,1.3045106241753184,0.012824626963262274
2020,B,43,485058,1.2982343447644589,0.012762924942082983
2020,B,44,483287,1.2934943486720785,0.012716326102207279
2020,B,45,481089,1.287611507672049,0.012658491968922811
2020,B,46,471132,1.2609620773548091,0.012396501766414408
2020,B,47,469730,1.2572096919671654,0.012359612114519582
2020,B,48,475916,1.2737662226433173,0.012522379152052673
2020,B,49,492249,1.3174807094738363,0.012952135702978627
2020,B,50,491220,1.3147266405980265,0.012925060487714878
2020,B,51,484615,1.2970486766284202,0.01275126865407342
2020,B,52,480258,1.2853873762475612,0.012636626561843922
2020,B,53,484353,1.2963474462635396,0.012744374867485371
2020,B,54,509469,1.3635692090282072,0.013405231142086256
2020,B,55,540959,1.4478506754026053,0.014233801140779595
2020,B,56,555764,1.4874755439219118,0.014623352707329448
2020,B,57,558277,1.4942014672308628,0.014689475171817106
2020,B,58,544113,1.4562922042989168,0.014316789701461677
2020,B,59,545783,1.4607618787620875,0.01436073101291985
2020,B,60,536765,1.4366256366609658,0.014123447931045715
2020,B,61,523037,1.3998833067026382,0.013762234563562
2020,B,62,515060,1.3785332508986188,0.013552342442902213
2020,B,63,500845,1.3404874889261809,0.013178315052256744
2020,B,64,484534,1.2968318840346975,0.012749137368906887
2020,B,65,475116,1.2716250612238342,0.01250132942201283
2020,B,66,453515,1.21381102644602,0.011932960398774506
2020,B,67,430196,1.151398847519866,0.01131938708027562
2020,B,68,410697,1.0992107143717431,0.010806326222716985
2020,B,69,397751,1.06456136970096,0.010465688966347218
2020,B,70,384981,1.0303830805424632,0.010129682650586216
2020,B,71,372652,0.9973851066164564,0.00980527999850968
2020,B,72,367027,0.9823300653857169,0.00965727408416703
2020,B,73,359093,0.9610950970079946,0.009448513386496882
2020,B,74,302869,0.8106142724467319,0.007969138359296685
2020,B,75,276540,0.7401459736797733,0.007276365431522887
2020,B,76,263353,0.7048516041313709,0.006929386943978617
2020,B,77,246750,0.6604144753217764,0.006492526109164216
2020,B,78,224002,0.5995305503587783,0.005893977035481267
2020,B,79,207658,0.55578662255874145,0.005463931050767265
2020,B,80,188994,0.5058333266422039,0.004972840848937717
2020,B,81,175463,0.4696182576834239,0.004616810977476315
2020,B,82,161715,0.4328223986896092,0.004255071366741606
2020,B,83,147204,0.39398440699196263,0.003873255575981395
2020,B,84,137994,0.369334286150165,0.0036309205588976974
2020,B,85,124522,0.3332771278460719,0.0032764431050267334
2020,B,86,112683,0.30159061528949843,0.0029649334125996
2020,B,87,104131,0.2787015997152255,0.0027399117984736737
2020,B,88,93404,0.24999130153173335,0.0024576612308019226
2020,B,89,82970,0.2220652037181268,0.002183120126757264
2020,B,90,70363,0.18832317619884967,0.0018514026934918814
2020,B,91,58076,0.1554376132473657,0.0015281051522424355
2020,B,92,49005,0.13115951920220326,0.0012894275257531607
2020,B,93,39435,0.10554587572163832,0.0010376201301515334
2020,B,94,31714,0.08488099157185336,8.344639231044941e-4
2020,B,95,24845,0.06649644433381777,6.537256785498883e-4
2020,B,96,19039,0.050956965331920165,5.009572627857244e-4
2020,B,97,13780,0.036881505450594036,3.625815999363035e-4
2020,B,98,9874,0.02642728481996847,2.5980629301676787e-4
